Title,Date,Url,Author
Algorithmic progress in language models,2024-03-09,http://arxiv.org/abs/2403.05812,"Ho, Anson; Besiroglu, Tamay; Erdil, Ege; Owen, David; Rahman, Robi; Guo, Zifan Carl; Atkinson, David; Thompson, Neil; Sevilla, Jaime"
Massive Activations in Large Language Models,2024-02-27,http://arxiv.org/abs/2402.17762,"Sun, Mingjie; Chen, Xinlei; Kolter, J. Zico; Liu, Zhuang"
The Lazy Neuron Phenomenon: On Emergence of Activation Sparsity in Transformers,2023-02-01,https://openreview.net/forum?id=TJ2nxciYCk-,"Li, Zonglin; You, Chong; Bhojanapalli, Srinadh; Li, Daliang; Rawat, Ankit Singh; Reddi, Sashank J.; Ye, Ke; Chern, Felix; Yu, Felix; Guo, Ruiqi; Kumar, Sanjiv"
